Tweets,good,bad
look i'm cool with 0 being a natural number but python why o why in the name of all that is holy do you call the 11 entry of a matrix 00,1,0
  i'm a vim kinda person mainly because i need to go super fast creating cognitive maps in graphviz on the fly why doing informational interviews maybe emacs can be faster than i'm aware though i haven't explored it much,0,1
in a parallel universe the twitter algorithm instead of drawing me to the core of ea drew me to the heart of the association of icelandic hedgehog enthusiasts,1,0
i need a hyperbolic time chamber,0,1
 like when would we expect people to appear to be random randomly 😅,1,0
 i do immensely :),0,1
 the coating got frayed on the vacuum cleaner cord and ouch no super powers gained; i want my $ back,0,1
 fr fr,0,1
 that looks great except that i want to live in europe oy,0,1
 givebadly is pretty well bad and there’s this drink called cruel that really will do a # on you,1,0
some afternoon reading :) https://tco/w0sjeuqb2e,0,1
 i like this definition because it implies that i don’t overthink even tho i’m running my brain on wide open all the time 😅,0,1
any tips for someone who would like to fly like superman by locally distorting spacetime,1,0
  oh cool i'm very curious to know the details :),0,1
hey this is good decision scientist = data scientist whose substantive expertise is decision making https://tco/s06bd7av9x,0,1
 and now i know what this paperclip business is about 😅,1,0
 aw putting googly eyes makes me want to maximize them too,0,1
my brain isn’t transparent enough can we get some ai peeps on that,1,0
 that's interesting; i feel more motivated to learn about that now,0,1
"  game theory with repeated games suggests it could eventually get bad…

so i use qualy to shield myself from the first punch and then start disparaging their briers as a preventative measure",0,1
i’m going in; if i’m not back in half an hour call the ac repair guy https://tco/kmxbm8vbqn,0,1
grading tests at a rate of about 1 problem graded/5 min because i just can't stand it,1,0
" you are the max-imizer :)

and thanks i see it now",0,1
 wanna add like several more hearts to this,0,1
 thank you for sharing that; i feel less alone,0,1
"omg sql is easy y'all (famous last words)

but yeah so far it seems super easy",1,0
i can’t listen to music because it’s just too powerful: i either start dancing or break into tears,1,0
i mean everything being brown would be kinda boring maybe throw some mint in there,0,1
i have an inferio-r-ity complex because of python :(,1,0
"to be clear: i don't tell anyone what their decisions should be instead i facilitate them making their own choices; this for many reasons 

things like quality adjusted life years for example don't enter the picture if you're not trying to make peoples' decisions for them",0,1
  and that is all i want my gf to say to me 🙏,0,1
a close friend told me that i get away with it because i “ooze competence from every pore”,0,1
also implementing the thermodynamic equations of state for nacl-h20 was… um… not easy,1,0
 dungeon master: roll 1d10; don't roll a 1,0,1
 i can r at anything i could excel 🤓,0,1
 yeah but then s$*t gets real; once they're into the banach-tarski paradox it's all over,0,1
 frankly i have no life,0,1
 i'm an academic sort of; fwiw i suspected that it would go like this but wanted to hedge my bets not just against twitter possibly failing but also (&amp; more likely) against the platform taking some direction i wouldn't like so i have a mastodon too (and it's nice over there),0,1
 for me too; that somebody else is monty python,0,1
"  my religion is that of the perverse master who punishes with eternal torment all believers in any gods including in himself

i don’t believe any of this of course :-|",0,1
 maybe in latin i'm a terrible person,0,1
time is the issue here,0,1
   i'm imagining an indian version of charles bronson,0,1
4/ still thinking does require effort we can feel overwhelmed when we're faced with too many decisions and this state likely does have undersirable effects on our performance even if it doesn't necessarily work like a character's life bar in a video game,0,1
 now i’m gonna trash-talk wittgenstein in my own private mental language that i just made up that is in no way latin :-p,0,1
 that's one idea another is to have a website like https://tco/emumfq6hdq where people put info in several columns along with a short essay; then an open source code picks out the profiles you want and could use an algorithm to suggest choices but only if desired,0,1
   when i talk to strangers at parties and things i use lines like that one but for a dating app i agree it's best to personalize as much as you can forgot about that prolly because i've been off the apps for a while now,0,1
 those wave functions are def up in each other’s business look away kiddies,0,1
" i'm not sure i understand the goal-space model is ""goal"" just a utility function over the domain possible worlds",0,1
okay this is better: words most commonly found in my tweets https://tco/iep946mkds,0,1
 i had in mind mostly information collection or research: digging up probabilities or statistics contacting domain-specific experts running models etc,0,1
 omg that's so sweet,0,1
 good to know https://tco/hlzwxlq2i3,0,1
" correction: ""night is a lovely name for a girl"" (remembered to meme)",0,1
"when you have ibs the question ""what would i like to eat today"" starts to look more and more like ""choose the form of the destructor"" 😅",0,1
  there’s one sense in which they’re “free”: no one will point a gun at me and prevent me from drinking things with less and less sugar until i finally don’t crave it anymore it’s called compatibilist free will because it’s consistent with determinism,0,1
anybody got a data set they'd like me to explore and tweet/blog about,1,0
  yay,0,1
"as read about about this ai stuff i keep thinking ""how might i use this idea to improve my own meat brain""",0,1
 morning me,0,1
 interesting my brain is also transparent to any kind of explanation centered around sports,0,1
 yeah how they treated semmelweis badly because they didn’t want to believe they had been killing people,0,1
"if we only have 8 yrs left we should get to do only stuff we wanna do just saying

like i wanna just have intellectual discussions make out and watch movies :-|",1,0
    i think of heat as microscopic work done so the radiation could transfer energy through vacuum and do work on you raising your temperature even if it didn't make sense to talk about the radiation itself having a temperature otoh black body spectra something something,0,1
