Number of Likes,Tweets
7,look i'm cool with 0 being a natural number but python why o why in the name of all that is holy do you call the 11 entry of a matrix 00
2,  i'm a vim kinda person mainly because i need to go super fast creating cognitive maps in graphviz on the fly why doing informational interviews maybe emacs can be faster than i'm aware though i haven't explored it much
5,in a parallel universe the twitter algorithm instead of drawing me to the core of ea drew me to the heart of the association of icelandic hedgehog enthusiasts
1,i need a hyperbolic time chamber
211, like when would we expect people to appear to be random randomly 😅
1, i do immensely :)
1, the coating got frayed on the vacuum cleaner cord and ouch no super powers gained; i want my $ back
1, fr fr
1, that looks great except that i want to live in europe oy
27, givebadly is pretty well bad and there’s this drink called cruel that really will do a # on you
1,some afternoon reading :) https://tco/w0sjeuqb2e
2, i like this definition because it implies that i don’t overthink even tho i’m running my brain on wide open all the time 😅
13,any tips for someone who would like to fly like superman by locally distorting spacetime
1,  oh cool i'm very curious to know the details :)
2,hey this is good decision scientist = data scientist whose substantive expertise is decision making https://tco/s06bd7av9x
4, and now i know what this paperclip business is about 😅
1, aw putting googly eyes makes me want to maximize them too
7,my brain isn’t transparent enough can we get some ai peeps on that
2, that's interesting; i feel more motivated to learn about that now
2,"  game theory with repeated games suggests it could eventually get bad…

so i use qualy to shield myself from the first punch and then start disparaging their briers as a preventative measure"
2,i’m going in; if i’m not back in half an hour call the ac repair guy https://tco/kmxbm8vbqn
4,grading tests at a rate of about 1 problem graded/5 min because i just can't stand it
1," you are the max-imizer :)

and thanks i see it now"
3, wanna add like several more hearts to this
1, thank you for sharing that; i feel less alone
20,"omg sql is easy y'all (famous last words)

but yeah so far it seems super easy"
6,i can’t listen to music because it’s just too powerful: i either start dancing or break into tears
1,i mean everything being brown would be kinda boring maybe throw some mint in there
12,i have an inferio-r-ity complex because of python :(
2,"to be clear: i don't tell anyone what their decisions should be instead i facilitate them making their own choices; this for many reasons 

things like quality adjusted life years for example don't enter the picture if you're not trying to make peoples' decisions for them"
1,  and that is all i want my gf to say to me 🙏
3,a close friend told me that i get away with it because i “ooze competence from every pore”
4,also implementing the thermodynamic equations of state for nacl-h20 was… um… not easy
0, dungeon master: roll 1d10; don't roll a 1
2, i can r at anything i could excel 🤓
1, yeah but then s$*t gets real; once they're into the banach-tarski paradox it's all over
1, frankly i have no life
