name,Armor Class,Hit Points,Speed,STR,STR_mod,DEX,DEX_mod,CON,CON_mod,INT,INT_mod,WIS,WIS_mod,CHA,CHA_mod,Challenge,monster num
Aboleth,17,135,10,21,5,9,1,15,2,18,4,15,2,18,4,10,0
Erinyes,18,153,30,18,4,16,3,18,4,14,2,14,2,18,4,12,101
Ettercap,13,44,30,14,2,15,2,13,1,7,2,12,1,8,1,2,102
Ettin,12,85,40,21,5,8,1,17,3,6,2,10,0,8,1,4,103
Fire Elemental,13,102,50,10,0,17,3,16,3,6,2,10,0,7,2,5,104
Fire Giant,18,162,30,25,7,9,1,23,6,10,0,14,2,13,1,9,105
Flameskull,13,40,0,1,5,17,3,14,2,16,3,10,0,11,0,4,106
Flesh Golem,9,93,30,19,4,9,1,18,4,6,2,10,0,5,3,5,107
Flying Snake,14,5,30,4,3,18,4,11,0,2,4,12,1,5,3,1,108
Flying Sword,17,17,0,12,1,15,2,11,0,1,5,5,3,1,5,1,109
Adult Silver Dragon,19,243,40,27,8,10,0,25,7,16,3,13,1,21,5,16,10
Frog,11,1,20,1,5,13,1,8,1,1,5,8,1,3,4,0,110
Frost Giant,15,138,40,23,6,9,1,21,5,9,1,10,0,12,1,8,111
Gargoyle,15,52,30,15,2,11,0,16,3,6,2,11,0,7,2,2,112
Gelatinous Cube,6,84,15,14,2,3,4,20,5,1,5,6,2,1,5,2,113
Ghast,13,36,30,16,3,17,3,10,0,11,0,10,0,8,1,2,114
Ghost,11,45,0,7,2,13,1,10,0,10,0,12,1,17,3,4,115
Ghoul,12,22,30,13,1,15,2,10,0,7,2,10,0,6,2,1,116
Giant Badger,10,13,30,13,1,10,0,15,2,2,4,12,1,5,3,1,118
Adult White Dragon,18,200,40,22,6,10,0,22,6,8,1,12,1,12,1,13,11
Giant Eagle,13,26,10,16,3,17,3,13,1,8,1,14,2,10,0,1,125
Giant Fire Beetle,13,4,30,8,1,10,0,12,1,1,5,7,2,3,4,0,127
Giant Frog,11,18,30,12,1,13,1,11,0,2,4,10,0,3,4,1,128
Air Elemental,15,90,0,14,2,20,5,14,2,6,2,10,0,6,2,5,12
Giant Octopus,11,52,10,17,3,13,1,13,1,4,3,10,0,4,3,1,132
Giant Owl,12,19,5,13,1,15,2,12,1,8,1,13,1,10,0,1,133
Giant Rat,12,7,30,7,2,15,2,11,0,2,4,10,0,4,3,1,135
Giant Spider,14,26,30,14,2,16,3,12,1,2,4,11,0,4,3,1,139
Gibbering Mouther,9,67,10,10,0,8,1,16,3,3,4,10,0,6,2,2,145
Glabrezu,17,157,40,20,5,15,2,21,5,19,4,17,3,16,3,9,146
Gnoll,15,22,30,14,2,12,1,11,0,6,2,10,0,7,2,1,148
Ancient Black Dragon,22,367,40,27,8,14,2,25,7,16,3,15,2,19,4,21,14
Goblin,15,7,30,8,1,14,2,10,0,10,0,8,1,8,1,1,150
Gold Dragon Wyrmling,17,60,30,19,4,14,2,17,3,14,2,11,0,16,3,3,151
Gorgon,19,114,40,20,5,11,0,18,4,2,4,12,1,7,2,5,152
Gray Ooze,8,22,10,12,1,6,2,16,3,1,5,6,2,2,4,1,153
Green Dragon Wyrmling,17,38,30,15,2,12,1,13,1,14,2,11,0,13,1,2,154
Green Hag,17,82,30,18,4,12,1,16,3,13,1,14,2,14,2,3,155
Grick,14,27,30,14,2,14,2,11,0,3,4,14,2,5,3,2,156
Griffon,12,59,30,18,4,15,2,16,3,2,4,13,1,8,1,2,157
Grimlock,11,11,30,16,3,12,1,12,1,9,1,8,1,6,2,1,158
Ancient Blue Dragon,22,481,40,29,9,10,0,27,8,18,4,17,3,21,5,23,15
Guardian Naga,18,127,40,19,4,18,4,16,3,16,3,19,4,18,4,10,160
Gynosphinx,17,136,40,18,4,15,2,16,3,18,4,18,4,18,4,11,161
Half-Red Dragon Veteran,18,65,30,16,3,13,1,14,2,10,0,11,0,10,0,5,162
Harpy,11,38,20,12,1,13,1,12,1,7,2,10,0,13,1,1,163
Hawk,13,1,10,5,3,16,3,8,1,2,4,14,2,6,2,0,164
Hell Hound,15,45,50,17,3,12,1,14,2,6,2,13,1,6,2,3,165
Hezrou,16,136,30,19,4,17,3,20,5,5,3,12,1,13,1,8,166
Hill Giant,13,105,40,21,5,8,1,19,4,5,3,9,1,6,2,5,167
Hippogriff,11,19,40,17,3,13,1,13,1,2,4,12,1,8,1,1,168
Hobgoblin,18,11,30,13,1,12,1,12,1,10,0,10,0,9,1,1,169
Ancient Brass Dragon,20,297,40,27,8,10,0,25,7,16,3,15,2,19,4,20,16
Homunculus,13,5,20,4,3,15,2,11,0,10,0,10,0,7,2,0,170
Horned Devil,18,148,20,22,6,17,3,21,5,12,1,16,3,17,3,11,171
Hydra,15,172,30,20,5,12,1,20,5,2,4,10,0,7,2,8,173
Hyena,11,5,50,11,0,13,1,12,1,2,4,12,1,5,3,0,174
Ice Devil,18,180,40,21,5,14,2,18,4,18,4,15,2,18,4,14,175
Ice Mephit,11,21,30,7,2,13,1,10,0,9,1,11,0,12,1,1,176
Imp,13,10,20,6,2,17,3,13,1,11,0,12,1,14,2,1,177
Invisible Stalker,14,104,50,16,3,19,4,14,2,10,0,15,2,11,0,6,178
Iron Golem,20,210,30,24,7,9,1,20,5,3,4,11,0,1,5,16,179
Ancient Bronze Dragon,22,444,40,29,9,10,0,27,8,18,4,17,3,21,5,22,17
Kobold,12,5,30,7,2,15,2,9,1,8,1,7,2,8,1,1,183
Kraken,18,472,20,30,10,11,0,25,7,22,6,18,4,20,5,23,184
Lamia,13,97,30,16,3,13,1,15,2,14,2,15,2,16,3,4,185
Lemure,7,13,15,10,0,5,3,11,0,1,5,11,0,3,4,0,186
Lich,17,135,30,11,0,16,3,16,3,20,5,14,2,16,3,21,187
Ancient Copper Dragon,21,350,40,27,8,12,1,25,7,20,5,17,3,19,4,21,18
Lizardfolk,15,22,30,15,2,10,0,13,1,7,2,12,1,7,2,1,190
Magma Mephit,11,22,30,8,1,12,1,12,1,7,2,10,0,10,0,1,192
Magmin,14,9,30,7,2,15,2,12,1,8,1,11,0,10,0,1,193
Manticore,14,68,30,17,3,16,3,17,3,7,2,12,1,8,1,3,195
Marilith,18,189,40,18,4,20,5,20,5,18,4,16,3,20,5,16,196
