,Date Created,Number of Likes,Source of Tweet,Tweets
0,2022-12-03 19:14:39+00:00,5,Twitter Web App,i took y = sqrt(x) and added some gaussian noise to it; then i used polynomial regression with 7-fold cross-validation to get a best fit polynomial of degree 4 :) https://t.co/NQbwBrWRJF
1,2022-12-03 16:54:29+00:00,6,Twitter Web App,saturday + home is such a safe space
2,2022-12-03 16:22:37+00:00,0,Twitter Web App,@nascentwisp @eurydicelives thanks! i got the congressive/aggressive distinction from here: https://t.co/rg5ZS8D0RW
3,2022-12-03 14:00:15+00:00,1,Twitter for iPhone,"@nascentwisp @eurydicelives it’s a good question; i dunno, but i wanna say it tends to be more of the congressive (we’ll get thru this) than the aggressive (i’m gonna kick ur ass) variety."
4,2022-12-02 23:41:18+00:00,2,Twitter Web App,@typeofemale @butt_cousin i love that the process involves conversion to vim keybindings
5,2022-12-02 23:37:46+00:00,1,Twitter Web App,@gebrauchsmusik damn i want the answer to this question too
6,2022-12-02 22:12:02+00:00,2,Twitter Web App,"i only got 4 responses, but here are the stats on them: the mean is 5'7"" w/standard deviation of 2.5 inches; my actual height is (drumroll) 5'8"" https://t.co/4zNFvkyNBf"
7,2022-12-02 19:48:52+00:00,1,Twitter Web App,"or ""wow that chalkboard full of equations and diagrams is effing gorgeous"" or..."
8,2022-12-02 19:47:08+00:00,5,Twitter Web App,"kinda sad that (at least in my experience) in science people rarely just stop for a bit and say ""wow that plot is effing gorgeous"""
9,2022-12-02 19:31:29+00:00,2,Twitter for iPhone,"like, do i have to learn tableau?"
10,2022-12-02 19:25:04+00:00,4,Twitter Web App,i know that AI can do it better but i'm soft and filled with warm goo
11,2022-12-02 19:21:52+00:00,6,Twitter Web App,making pretty stuffs with matplotlib :) https://t.co/CPTDeEETlp
12,2022-12-02 19:08:38+00:00,1,Twitter for iPhone,@absurdlymax @Kirsten3531 a lot of the memes are EA poking fun at itself; as long as we aren’t “sticking it” to anyone it seems ok/good?
13,2022-12-02 18:28:23+00:00,5,Twitter Web App,and ofc one way to be seen as diverse is to really be super diverse :)
14,2022-12-02 18:24:29+00:00,6,Twitter Web App,"maybe EA could have a better reputation if we could emphasize the diversity within EA more. a big problem is that out-groups tend to be seen as being homogeneous, so ppl hear things that sound extreme to them and then associate those with all of EA..."
15,2022-12-02 18:04:10+00:00,4,Twitter Web App,@IsomorphicPhi ah the beloved yellow springer books; omg u are making me want to do math all day
16,2022-12-02 17:48:18+00:00,1,Twitter Web App,@eurydicelives @nascentwisp i like this; also there's a feminine version of strength https://t.co/qnnky0TvpF
17,2022-12-02 16:37:09+00:00,0,Twitter for iPhone,@abw317 i’ll tell the answer later
18,2022-12-02 02:31:37+00:00,1,Twitter for iPhone,@figworms yeah i really screwed up that day; i’ll never live it down
19,2022-12-02 02:28:17+00:00,12,Twitter for iPhone,drowning my sorrows in code 🥲
20,2022-12-02 02:19:59+00:00,2,Twitter for iPhone,and a tube of toothpaste
21,2022-12-02 02:08:00+00:00,5,Twitter for iPhone,i can solve any problem with a fourier transform :|
