,Unnamed: 0,Tweets
466,466,combined with listening to podcast in latin
3969,3969, for me it is indeed difficult
3205,3205, actually no there are events sometimes where people text in real time i've just never gone to any
618,618,  i am an ice queen
2934,2934,3/ meanwhile each item on the list is marked with importance and urgency indicators to aid in triage
3298,3298, i’ll give you my card after that then 😅
29,29,latent dirichlet analysis of my tweets showing 10 topic areas and associated vocab https://tco/k1xvaoa0fr
2404,2404, must be handly: it's hard to lose that naked guy in hell's kitchen
3076,3076,"  it seemed to make me more practical minded more willing/able to let go of things and more pleasure seeking 

low confidence here though because maybe all that stuff was going to happen anyway"
1162,1162,throwing ideas at twitter like darts
990,990, yes and the problem love bombed me and i fell for it and then the problem moved in and holy hell
2068,2068, the first rule of metaculus is: you do not talk about metaculus the second rule of metaculus is: you do not talk about metaculus
3327,3327, yes like a system with rules that generate a different password depending on which website or service i need it for for (simplified) example part of the password could be the first three consonants in the name of whatever so one for amazon would have an mzn in it somewhere
3534,3534, i love that meme with you and the giant cookie
3751,3751,"i think about these a lot:

(1) system dynamics
(2) vanguard method
(3) viable system model
(4) socio-technical systems engineering
(5) strategic assumption surfacing
(6) interactive planning
(7) soft systems methodology
(8) critical systems heuristics
(9) team syntegrity"
1615,1615,i dreamed that i showed up to teach physics but the classroom had turned into a cozy salon and was full of twitter moots; instead of me teaching we had a super chill semi-intimate ai symposium
2512,2512,"so the facts:

(1) i like tweeting
(2) i have a hard time writing blog articles

possible solution: write thread copy to blog (&amp; prolly also linkedin); alternate writing in english and latin (obviously latin would not go to linkedin haha)"
1323,1323,i have an active passport again yay
1458,1458,damn u status quo bias i'd do something about u but that would require changing something
463,463,combining with voice work by reading aloud recording and playing back periodically (still killing southern accent + trying to sound crisp clean)
120,120, i guess it isn't clear to me that instrumental rationalism and effective altruism are the same thing it does seem like the actions they lead to would typically have a lot of overlap
1861,1861, i used to be the high priestess of my own religion which was called the church of the spherical harmonic; at its height it had 2 members
186,186, “ambitious” - i like that way of putting it most days i express it as “possibly crazy” 😅
1517,1517,"        i like to write my own crappy crap tho 😅 

i don’t want someone turning my bad crap into good crap"
1563,1563,"i’m basically dr pepper with no sweeteners

23 mysterious flavors + bubbles"
3767,3767,"8/ ""system"" here can be taken very broadly like ""the system of me my social media accounts and my blog"" or ""the system of me and my girlfriend"" etc"
307,307,"   it’s a good thing i’m not a therapist :|

“my therapist used random forests to make a predictive model of how happy i’d be if i *did* choose to save the shrimp”"
2536,2536,"i want to speak to this dating strategy thing being the total weirdo that i am :-|

the odds that i would happen upon someone on the street or in a bar who would share any of my values or interests is approx 1400231 to 1 against"
2664,2664, what’s disturbing is when they say shrimp &gt; human
24,24,dealing this afternoon with my disorder that makes me write normal documents by coding things the disorder is called latex which i’m dealing with by fighting with latex :|
2117,2117,combining the idea of drawing samples from a power law distribution with the idea of luck surface area is pretty useful: it gives motivation to always be trying several different things and to not give up too soon
1409,1409, i too am a funny guy
3309,3309, huh interesting…
659,659,"  i don't know if it's good to associate ""i don't know"" with ""i'm a coward"" :("
795,795, we aim to please
5,5,"7/ the analysis provides two different frequency measures for word occurences one being the probability of a word appearing in a given topic area and another (called ""lift"") that divides that probability by that word's overall frequency in the document"
2179,2179,"i feel like reflective equilibrium is a useful concept that doesn't get enough press

https://tco/hlpndlqaiq"
1205,1205,oh why am i me
